6353fb6,Thomas Maters,2016-10-28 09:08:08 +0200,Added new procedures to database for makeing riskdata project specific. Added topbar form for risk info. Fixed bugs in opening risks and editrisks form. Removed database connection from exposedperson control. Added new event when an exposed person changes.,,
e45a7f5,Thomas Maters,2016-10-27 10:00:46 +0200,Bug fixes. Scaling fixes in forms.,,
9170145,Thomas Maters,2016-10-26 16:30:01 +0200,Removed singleton class, made it in to an Acces Control List class. Added permissions to ProjectOverview. Added en PermissionLevel enum.,
8ebb278,Thomas Maters,2016-10-26 10:54:35 +0200,Added form to search and open a project. Improved sidebar functionality. Changed event parameters to give a object reference to a class..,,
202819,Thomas Maters,2016-10-25 17:15:30 +0200,Added new form for opening a project.,,
d0b433d,Thomas Maters,2016-10-25 17:11:17 +0200,Added form for opening risks in a project. Fixed bug in adding risks to project. Added new procedure to get all the risks in a project.,,
6baa100,Thomas Maters,2016-10-25 15:32:26 +0200,Added control cleanup on controlDataSet. Added a now risk image. Added a new procedure.,,
006ee06,Thomas Maters,2016-10-25 12:02:20 +0200,Added new event for hazard indentification. Added new procedure for inserting danger into database. Fixed bug for button alpha not drawing correctly.,,
c58bf40,Thomas Maters,2016-10-25 09:59:26 +0200,Added 2 new procedures for inserting riskestimation in project. Cleaned up EditrRiskEstimation classes. Added custom event when RiskEstimation has changed. Connected riskEstimation classes to database.,,
df68ea1,Thomas Maters,2016-10-24 16:59:00 +0200,Connected exposed persons control and riskreductionmesures control to database.,,
83d711e,Thomas Maters,2016-10-24 13:22:33 +0200,Added procedure to database for fetching the exposed persons. Small bugfixes.,,
fac4b9f,Thomas Maters,2016-10-24 12:24:27 +0200,Added flag for each control so it knows it has been changed.,,
4e3a744,Thomas Maters,2016-10-24 11:47:01 +0200,2 new procedures added to database. Control made for riskreductionmesures. Control added to editRiskBaseForm.,,
a60c359,Thomas Maters,2016-10-21 16:43:35 +0200,Added 2 new procedures. Cleaned up risk estimation. Made it possible to give dataView as argument.,,
635376a,Thomas Maters,2016-10-21 15:11:17 +0200,RiskEstimation controls connected to database.,,
e206201,Thomas Maters,2016-10-21 10:52:07 +0200,Changed table column ordening. Added functionality to set hazard control fields. Added RiskEstimation usercontrol. Added functionality for setting control fields.,,
e27f455,Thomas Maters,2016-10-20 14:49:10 +0200,Removed unused code for adding risks to a project. Adjustments to usercontrols.,,
b37c024,Thomas Maters,2016-10-20 10:53:43 +0200,Small bugfix when searching the risks and selecting the found risks.,,
f94a861,Thomas Maters,2016-10-20 09:58:41 +0200,Added database structure for editing risk data. Fixed broken database connections in code.,,
ead96d8,Thomas Maters,2016-10-20 09:39:38 +0200,Added some buttons in RiskEstimation control.,,
9.73E+92,Thomas Maters,2016-10-19 17:15:34 +0200,Working on requirement for editing risk details. Made baseform and started making usercontrols for this form. Scaling added for EditRiskBaseForm.,,
49554a6,Thomas Maters,2016-10-17 17:14:47 +0200,Sets tooltop only when Tag value is set in listItem. Added image loadin from database.,,
777a88a,Thomas Maters,2016-10-17 16:38:06 +0200,Imagetooltip flickering bug fixed. Fonts added.,,
0d8bde4,Thomas Maters,2016-10-17 14:55:33 +0200,Image tooltips added to listItems. Fill Tag variable with image data to display an image.,,
2658c22,Thomas Maters,2016-10-17 12:32:17 +0200,Search functionality for adding risks to project added. Added new procedure to database for getting the TypeNames by GroupName.,,
925b936,Thomas Maters,2016-10-17 10:23:48 +0200,Added search datagrid that hides/shows when there is something typed in the searchbar.,,
c706677,Thomas Maters,2016-10-17 10:06:30 +0200,Qeary adapter function changed to for createing a riskproject.,,
5be194a,Thomas Maters,2016-10-17 10:05:27 +0200,Added query for getting TypeNames by GroupName,,
317ecb8,Thomas Maters,2016-10-17 10:02:24 +0200,Readded database.,,
0b209cb,Thomas Maters,2016-10-17 10:01:34 +0200,Removed database connection.,,
2da0e2a,Thomas Maters,2016-10-14 15:32:09 +0200,Merge branch 'Requirement1.4',,
d49a887,Thomas Maters,2016-10-14 15:21:53 +0200,Database fix.,,
a1371a4,Thomas Maters,2016-10-14 15:19:57 +0200,New function added to database. Searchs_Risks_In_Project,,
449f120,Thomas Maters,2016-10-14 14:42:30 +0200,Added scaling for adding risk to project.,,
08a414b,Thomas Maters,2016-10-14 09:59:21 +0200,Fixes for database connection.,,
91f3a09,Thomas Maters,2016-10-13 16:48:16 +0200,Add project files.,,
b48893f,Thomas Maters,2016-10-13 16:48:14 +0200,Add .gitignore and .gitattributes.,,
